FIPS,FIPSTEXT,y12_M085_valuetext,y12_M085_classRange,Acres of Total Cropland as Percent of Land Area in Acres: 2012_valueNumeric,y12_M270_valueText,y12_M270_classRange,Acres of Cropland and Pastureland Treated with Animal Manure as Percent of Total Cropland Acreage_valueNumeric
0,0,17.24,,17.24,5.66,,5.66
1001,1001,10.85,14-May,10.85,5.89,14-May,5.89
1003,1003,9.92,14-May,9.92,7.78,14-May,7.78
1005,1005,7.29,14-May,7.29,17.98,15 - 29,17.98
1007,1007,3.16,Less than 5,3.16,(D),Less than 5,
1009,1009,9,14-May,9,53.8,30 - 59,53.8
1011,1011,6.55,14-May,6.55,14.08,14-May,14.08
1013,1013,4.29,Less than 5,4.29,19.69,15 - 29,19.69
1015,1015,5.51,14-May,5.51,23.42,15 - 29,23.42
1017,1017,4,Less than 5,4,102.95,60 or more,102.95
1019,1019,16.59,15 - 29,16.59,20.71,15 - 29,20.71
1021,1021,5.35,14-May,5.35,6.67,14-May,6.67
1023,1023,1.38,Less than 5,1.38,12.07,14-May,12.07
1025,1025,0.98,Less than 5,0.98,7.35,14-May,7.35
1027,1027,3.37,Less than 5,3.37,77.99,60 or more,77.99
1029,1029,2.15,Less than 5,2.15,81.01,60 or more,81.01
1031,1031,19.67,15 - 29,19.67,19.49,15 - 29,19.49
1033,1033,17.32,15 - 29,17.32,16.98,15 - 29,16.98
1035,1035,3.69,Less than 5,3.69,8.01,14-May,8.01
1037,1037,1.03,Less than 5,1.03,0.91,Less than 5,0.91
1039,1039,9.92,14-May,9.92,38.67,30 - 59,38.67
1041,1041,7.45,14-May,7.45,42.93,30 - 59,42.93
1043,1043,12.41,14-May,12.41,55.15,30 - 59,55.15
1045,1045,13.81,14-May,13.81,12.8,14-May,12.8
1047,1047,12.26,14-May,12.26,9.53,14-May,9.53
1049,1049,14.53,14-May,14.53,59.01,30 - 59,59.01
1051,1051,7.64,14-May,7.64,(D),15 - 29,
1053,1053,7.88,14-May,7.88,6.88,14-May,6.88
1055,1055,5.69,14-May,5.69,38.03,30 - 59,38.03
1057,1057,6.87,14-May,6.87,30.76,30 - 59,30.76
1059,1059,8.63,14-May,8.63,72.43,60 or more,72.43
1061,1061,25.33,15 - 29,25.33,11.92,14-May,11.92
1063,1063,5.27,14-May,5.27,3.25,Less than 5,3.25
1065,1065,7.25,14-May,7.25,5.82,14-May,5.82
1067,1067,20.27,15 - 29,20.27,17.83,15 - 29,17.83
1069,1069,26.24,15 - 29,26.24,3.94,Less than 5,3.94
1071,1071,12.95,14-May,12.95,14.49,14-May,14.49
1073,1073,1.28,Less than 5,1.28,11.6,14-May,11.6
1075,1075,3.58,Less than 5,3.58,14.12,14-May,14.12
1077,1077,23.39,15 - 29,23.39,8.65,14-May,8.65
1079,1079,25.94,15 - 29,25.94,42.72,30 - 59,42.72
1081,1081,3.13,Less than 5,3.13,5.24,14-May,5.24
1083,1083,40.76,30 - 49,40.76,15.98,15 - 29,15.98
1085,1085,8.74,14-May,8.74,18.63,15 - 29,18.63
1087,1087,5.16,14-May,5.16,11.08,14-May,11.08
1089,1089,24.43,15 - 29,24.43,2.14,Less than 5,2.14
1091,1091,5.25,14-May,5.25,6.99,14-May,6.99
1093,1093,4.59,Less than 5,4.59,46.08,30 - 59,46.08
1095,1095,12.9,14-May,12.9,51.41,30 - 59,51.41
1097,1097,4.65,Less than 5,4.65,17.58,15 - 29,17.58
1099,1099,8.21,14-May,8.21,2.36,Less than 5,2.36
1101,1101,12.19,14-May,12.19,9.28,14-May,9.28
1103,1103,14.19,14-May,14.19,31.01,30 - 59,31.01
