Date / Time,"Gageheight,  feet, "," Dis-charge, ft3/s, ","Turbid-  ity, IR LED light,det ang90 deg,  FNU, "
05/27/2018 00:00   EST,11.57P  ,295P  ,10.4A  
05/27/2018 00:15   EST,11.56P  ,292P  ,10.4A  
05/27/2018 00:30   EST,11.55P  ,289P  ,10.5A  
05/27/2018 00:45   EST,11.56P  ,292P  ,10.5A  
05/27/2018 01:00   EST,11.56P  ,292P  ,10.6A  
05/27/2018 01:15   EST,11.56P  ,292P  ,10.4A  
05/27/2018 01:30   EST,11.55P  ,289P  ,10.8A  
05/27/2018 01:45   EST,11.56P  ,292P  ,10.4A  
05/27/2018 02:00   EST,11.55P  ,289P  ,10.6A  
05/27/2018 02:15   EST,11.56P  ,292P  ,10.5A  
05/27/2018 02:30   EST,11.55P  ,289P  ,10.5A  
05/27/2018 02:45   EST,11.55P  ,289P  ,10.7A  
05/27/2018 03:00   EST,11.55P  ,289P  ,10.9A  
05/27/2018 03:15   EST,11.55P  ,289P  ,10.9A  
05/27/2018 03:30   EST,11.54P  ,286P  ,10.8A  
05/27/2018 03:45   EST,11.53P  ,282P  ,10.7A  
05/27/2018 04:00   EST,11.54P  ,286P  ,10.9A  
05/27/2018 04:15   EST,11.54P  ,286P  ,11.1A  
05/27/2018 04:30   EST,11.55P  ,289P  ,11.0A  
05/27/2018 04:45   EST,11.53P  ,282P  ,11.0A  
05/27/2018 05:00   EST,11.53P  ,282P  ,11.2A  
05/27/2018 05:15   EST,11.53P  ,282P  ,11.0A  
05/27/2018 05:30   EST,11.52P  ,279P  ,10.7A  
05/27/2018 05:45   EST,11.53P  ,282P  ,10.7A  
05/27/2018 06:00   EST,11.52P  ,279P  ,10.8A  
05/27/2018 06:15   EST,11.53P  ,282P  ,10.8A  
05/27/2018 06:30   EST,11.53P  ,282P  ,10.7A  
05/27/2018 06:45   EST,11.52P  ,279P  ,10.6A  
05/27/2018 07:00   EST,11.53P  ,282P  ,10.5A  
05/27/2018 07:15   EST,11.52P  ,279P  ,10.4A  
05/27/2018 07:30   EST,11.53P  ,282P  ,10.4A  
05/27/2018 07:45   EST,11.53P  ,282P  ,10.3A  
05/27/2018 08:00   EST,11.52P  ,279P  ,9.9A  
05/27/2018 08:15   EST,11.52P  ,279P  ,9.8A  
05/27/2018 08:30   EST,11.52P  ,279P  ,9.5A  
05/27/2018 08:45   EST,11.52P  ,279P  ,9.8A  
05/27/2018 09:00   EST,11.52P  ,279P  ,9.4A  
05/27/2018 09:15   EST,11.52P  ,279P  ,10.0A  
05/27/2018 09:30   EST,11.52P  ,279P  ,9.6A  
05/27/2018 09:45   EST,11.52P  ,279P  ,9.5A  
05/27/2018 10:00   EST,11.52P  ,279P  ,9.3A  
05/27/2018 10:15   EST,11.52P  ,279P  ,9.3A  
05/27/2018 10:30   EST,11.52P  ,279P  ,9.0A  
05/27/2018 10:45   EST,11.51P  ,276P  ,9.1A  
05/27/2018 11:00   EST,11.50P  ,273P  ,8.7A  
05/27/2018 11:15   EST,11.51P  ,276P  ,8.8A  
05/27/2018 11:30   EST,11.51P  ,276P  ,8.6A  
05/27/2018 11:45   EST,11.51P  ,276P  ,8.5A  
05/27/2018 12:00   EST,11.51P  ,276P  ,8.5A  
05/27/2018 12:15   EST,11.52P  ,279P  ,8.6A  
05/27/2018 12:30   EST,11.52P  ,279P  ,8.4A  
05/27/2018 12:45   EST,11.51P  ,276P  ,8.3A  
05/27/2018 13:00   EST,11.52P  ,279P  ,8.5A  
05/27/2018 13:15   EST,11.51P  ,276P  ,8.4A  
05/27/2018 13:30   EST,11.51P  ,276P  ,8.5A  
05/27/2018 13:45   EST,11.52P  ,279P  ,8.5A  
05/27/2018 14:00   EST,11.51P  ,276P  ,9.0A  
05/27/2018 14:15   EST,11.51P  ,276P  ,9.0A  
05/27/2018 14:30   EST,11.50P  ,273P  ,8.3A  
05/27/2018 14:45   EST,11.63P  ,314P  ,2020A  
05/27/2018 15:00   EST,13.56P  ,"1,040P  ",   
05/27/2018 15:15   EST,17.36P  ,"4,150P  ",1990A  
05/27/2018 15:30   EST,20.63P  ,"12,800P  ",1950A  
05/27/2018 15:45   EST,24.16P  ,"22,100P  ",2350A  
05/27/2018 15:52   EST,27.16P,"25,500P",   
05/27/2018 16:00   EST,27.01P  ,"25,400P  ",   
05/27/2018 16:15   EST,26.18P  ,"19,600P  ",2270A  
05/27/2018 16:30   EST,24.78P  ,"17,600P  ",2090A  
05/27/2018 16:45   EST,23.46P  ,"15,600P  ",1660A  
05/27/2018 17:00   EST,23.40P  ,"15,500P  ",   
05/27/2018 17:15   EST,25.07P  ,"18,000P  ",1790A  
05/27/2018 17:30   EST,25.58P  ,"18,700P  ",1850A  
05/27/2018 17:45   EST,24.46P  ,"17,200P  ",1570A  
05/27/2018 18:00   EST,23.12P  ,"15,000P  ",   
05/27/2018 18:15   EST,21.99P  ,"13,300P  ",1350A  
05/27/2018 18:30   EST,21.05P  ,"11,100P  ",1290A  
05/27/2018 18:45   EST,20.57P  ,"9,960P  ",1240A  
05/27/2018 19:00   EST,20.01P  ,"8,730P  ",1080A  
05/27/2018 19:15   EST,19.35P  ,"7,440P  ",967A  
05/27/2018 19:30   EST,18.75P  ,"6,370P  ",852A  
05/27/2018 19:45   EST,18.25P  ,"5,550P  ",   
05/27/2018 20:00   EST,17.79P  ,"4,880P  ",1090A  
05/27/2018 20:15   EST,17.47P  ,"4,460P  ",998A  
05/27/2018 20:30   EST,17.28P  ,"4,220P  ",798A  
05/27/2018 20:45   EST,17.17P  ,"4,080P  ",641A  
05/27/2018 21:00   EST,17.21P  ,"4,130P  ",682A  
05/27/2018 21:15   EST,17.49P  ,"4,480P  ",827A  
05/27/2018 21:30   EST,18.05P  ,"5,240P  ",1070A  
05/27/2018 21:45   EST,18.50P  ,"5,950P  ",1250A  
05/27/2018 22:00   EST,18.85P  ,"6,540P  ",   
05/27/2018 22:15   EST,19.18P  ,"7,120P  ",1400A  
05/27/2018 22:30   EST,19.27P  ,"7,290P  ",1440A  
05/27/2018 22:45   EST,19.39P  ,"7,510P  ",1890A  
05/27/2018 23:00   EST,19.44P  ,"7,610P  ",   
05/27/2018 23:15   EST,19.46P  ,"7,640P  ",2010A  
05/27/2018 23:30   EST,19.43P  ,"7,590P  ",2050A  
05/27/2018 23:45   EST,19.39P  ,"7,510P  ",2170A  
05/28/2018 00:00   EST,19.29P  ,"7,320P  ",   
05/28/2018 00:15   EST,19.18P  ,"7,120P  ",2130A  
05/28/2018 00:30   EST,19.08P  ,"6,940P  ",2070A  
05/28/2018 00:45   EST,18.91P  ,"6,640P  ",1980A  
05/28/2018 01:00   EST,18.73P  ,"6,330P  ",   
05/28/2018 01:15   EST,18.55P  ,"6,030P  ",1920A  
05/28/2018 01:30   EST,18.33P  ,"5,670P  ",1870A  
05/28/2018 01:45   EST,18.12P  ,"5,350P  ",1730A  
05/28/2018 02:00   EST,17.90P  ,"5,020P  ",   
05/28/2018 02:15   EST,17.70P  ,"4,750P  ",1650A  
05/28/2018 02:30   EST,17.49P  ,"4,480P  ",1580A  
05/28/2018 02:45   EST,17.29P  ,"4,230P  ",1350A  
05/28/2018 03:00   EST,17.08P  ,"3,970P  ",   
05/28/2018 03:15   EST,16.86P  ,"3,710P  ",1320A  
05/28/2018 03:30   EST,16.65P  ,"3,480P  ",1250A  
05/28/2018 03:45   EST,16.41P  ,"3,220P  ",1160A  
05/28/2018 04:00   EST,16.19P  ,"2,990P  ",   
05/28/2018 04:15   EST,15.99P  ,"2,790P  ",1130A  
05/28/2018 04:30   EST,15.82P  ,"2,630P  ",1120A  
05/28/2018 04:45   EST,15.64P  ,"2,460P  ",1080A  
05/28/2018 05:00   EST,15.48P  ,"2,320P  ",   
05/28/2018 05:15   EST,15.33P  ,"2,180P  ",1060A  
05/28/2018 05:30   EST,15.16P  ,"2,020P  ",1050A  
05/28/2018 05:45   EST,15.05P  ,"1,930P  ",1020A  
05/28/2018 06:00   EST,14.93P  ,"1,830P  ",977A  
05/28/2018 06:15   EST,14.85P  ,"1,760P  ",942A  
05/28/2018 06:30   EST,14.75P  ,"1,680P  ",909A  
05/28/2018 06:45   EST,14.67P  ,"1,620P  ",861A  
05/28/2018 07:00   EST,14.60P  ,"1,570P  ",838A  
